,Province,City,Latitude,Longitude
13,BC,Abbotsford,49.0521162,-122.329479
0,AB,Acheson,53.5459141,-113.7715761
1,AB,Airdrie,51.28597,-114.01062
2,AB,Balzac,51.2156111,-114.0045579
30,ON,Bolton,43.879548,-79.73826
14,BC,Burnaby,49.2433804,-122.972545
3,AB,Calgary,51.0460954,-114.065465
15,BC,Delta,49.0846258,-123.057938
4,AB,Edmonton,53.5462055,-113.491241
16,BC,Errington,49.2894628,-124.37063
5,AB,Grande Prairie,55.17108,-118.7949873
17,BC,Kamloops,50.6758269,-120.339415
18,BC,Kelowna,49.8879177,-119.495902
19,BC,Ladysmith,48.9936579,-123.8157964
20,BC,Langley,49.1039289,-122.657047
6,AB,Lethbridge,49.6945782,-112.8331033
7,AB,Medicine Hat,50.04303,-110.679016
21,BC,Nanaimo,49.163877,-123.938122
22,BC,New Westminster,49.2067726,-122.9108818
8,AB,Okotoks,50.7253685,-113.975082
23,BC,Port Coquitlam,49.2621643,-122.780542
9,AB,Red Deer County,52.1040224,-113.767473
28,SK,Regina,50.44876,-104.61731
24,BC,Richmond,49.163168,-123.137414
10,AB,Rocky View County,51.3699347,-114.014186
29,SK,Saskatoon,52.131802,-106.660767
11,AB,Sherwood Park,53.5256963,-113.2966313
12,AB,St. Albert,53.633239,-113.628845
25,BC,Surrey,49.1913033,-122.849143
26,BC,Vancouver,49.2608724,-123.113952
27,MB,Winnipeg,49.8955367,-97.1384584
